item_id,domain,topic,stem,choice_A,choice_B,choice_C,choice_D,key,rationale,combined,rasch_b,pvalue,point_biserial,enemy,status
NCX0011,Basic Care & Comfort,temperature regulation,Which task related to temperature regulation is appropriate to delegate to an experienced UAP?,Offer detailed education before stabilizing the client,Encourage rest and postpone evaluation,Provide warming measures for hypothermia,Ignore abnormal values if the client feels fine,C,The correct action for temperature regulation reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which task related to temperature regulation is appropriate to delegate to an experienced uap offer detailed education before stabilizing the client encourage rest and postpone evaluation provide warming measures for hypothermia ignore abnormal values if the client feels fine,-0.6308912992378448,0.6212857142857143,0.3900951899680716,,active
NCX0012,Basic Care & Comfort,skin integrity,Which finding indicates effective management of skin integrity?,Encourage rest and postpone evaluation,Document and reassess later without intervening,Keep skin clean and dry,Increase oral fluids without assessing contraindications,C,The correct action for skin integrity reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which finding indicates effective management of skin integrity encourage rest and postpone evaluation document and reassess later without intervening keep skin clean and dry increase oral fluids without assessing contraindications,-1.029195192595525,0.7024285714285714,0.4043275460016603,,active
NCX0013,Basic Care & Comfort,nutrition,A client treated for nutrition is being discharged with new prescriptions. The client expresses concerns about side effects and adherence. Which instruction is the priority?,Encourage rest and postpone evaluation,Monitor intake and weight trends,Apply restraints without trying alternatives,Ignore abnormal values if the client feels fine,B,The correct action for nutrition reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client treated for nutrition is being discharged with new prescriptions the client expresses concerns about side effects and adherence which instruction is the priority encourage rest and postpone evaluation monitor intake and weight trends apply restraints without trying alternatives ignore abnormal values if the client feels fine,1.058361415206978,0.2895714285714286,0.398272668951927,,active
NCX0014,Basic Care & Comfort,pain management,"During morning rounds, a client with pain management requests assistance. What should the nurse do first?",Increase oral fluids without assessing contraindications,Position the client supine regardless of condition,Offer detailed education before stabilizing the client,Reassess pain after interventions,D,The correct action for pain management reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,during morning rounds a client with pain management requests assistance what should the nurse do first increase oral fluids without assessing contraindications position the client supine regardless of condition offer detailed education before stabilizing the client reassess pain after interventions,-1.240496770902419,0.735,0.3692752772749019,,active
NCX0015,Basic Care & Comfort,nutrition,A client with nutrition refuses a blood transfusion due to personal beliefs. Which action by the nurse is most appropriate?,Delegate initial assessment to unlicensed staff,Ignore abnormal values if the client feels fine,Provide comfort measures only,"Offer small, frequent, nutrient-dense meals",D,The correct action for nutrition reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client with nutrition refuses a blood transfusion due to personal beliefs which action by the nurse is most appropriate delegate initial assessment to unlicensed staff ignore abnormal values if the client feels fine provide comfort measures only offer small frequent nutrient dense meals,0.4197807820877029,0.4112857142857143,0.4271506859612991,,active
NCX0016,Basic Care & Comfort,nutrition,"A client with nutrition suddenly exhibits restlessness. Vitals: BP 130/80, HR 48, RR 13, SpO2 93. Which action should the nurse take first?",Position the client supine regardless of condition,Encourage rest and postpone evaluation,"Offer small, frequent, nutrient-dense meals",Increase oral fluids without assessing contraindications,C,The correct action for nutrition reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client with nutrition suddenly exhibits restlessness vitals bp 130 80 hr 48 rr 13 spo2 93 which action should the nurse take first position the client supine regardless of condition encourage rest and postpone evaluation offer small frequent nutrient dense meals increase oral fluids without assessing contraindications,-0.1225471432214439,0.5171428571428571,0.4135813152704697,,active
NCX0017,Basic Care & Comfort,oral care,The nurse cares for a client with oral care and notices copious bright-red drainage. Which action takes priority?,Offer detailed education before stabilizing the client,Increase oral fluids without assessing contraindications,Provide oral care at least twice daily,Provide comfort measures only,C,The correct action for oral care reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,the nurse cares for a client with oral care and notices copious bright red drainage which action takes priority offer detailed education before stabilizing the client increase oral fluids without assessing contraindications provide oral care at least twice daily provide comfort measures only,-0.7802980061814119,0.6528571428571428,0.405981297418634,,active
NCX0018,Basic Care & Comfort,sleep promotion,"A client with sleep promotion reports new onset chest discomfort. Vitals: BP 89/59, HR 135. Which nursing action is most appropriate?",Offer detailed education before stabilizing the client,Increase oral fluids without assessing contraindications,Cluster care to reduce nighttime disturbances,Document and reassess later without intervening,C,The correct action for sleep promotion reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client with sleep promotion reports new onset chest discomfort vitals bp 89 59 hr 135 which nursing action is most appropriate offer detailed education before stabilizing the client increase oral fluids without assessing contraindications cluster care to reduce nighttime disturbances document and reassess later without intervening,-1.621982184875884,0.797,0.3287411040511568,,active
NCX0019,Basic Care & Comfort,elimination,A client treated for elimination is being discharged with new prescriptions. The client expresses concerns about side effects and adherence. Which instruction is the priority?,Document and reassess later without intervening,Ignore abnormal values if the client feels fine,Monitor I&O carefully,Offer detailed education before stabilizing the client,C,The correct action for elimination reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client treated for elimination is being discharged with new prescriptions the client expresses concerns about side effects and adherence which instruction is the priority document and reassess later without intervening ignore abnormal values if the client feels fine monitor i o carefully offer detailed education before stabilizing the client,-0.8055662370183722,0.653,0.3925400619597921,,active
NCX0020,Basic Care & Comfort,temperature regulation,"During morning rounds, a client with temperature regulation requests assistance. What should the nurse do first?",Ignore abnormal values if the client feels fine,Document and reassess later without intervening,Delegate initial assessment to unlicensed staff,Monitor for shivering and dehydration,D,The correct action for temperature regulation reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,during morning rounds a client with temperature regulation requests assistance what should the nurse do first ignore abnormal values if the client feels fine document and reassess later without intervening delegate initial assessment to unlicensed staff monitor for shivering and dehydration,-0.4705162831136568,0.588,0.420689227990515,,active
NCX0021,Basic Care & Comfort,sleep promotion,"A postoperative client with sleep promotion has labs: K+ 3.3, Na+ 133, Hgb 17.2. Vitals: BP 164/84, HR 109. Which order should the nurse implement first?",Apply restraints without trying alternatives,Increase oral fluids without assessing contraindications,Promote a consistent sleep routine,Provide comfort measures only,C,The correct action for sleep promotion reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a postoperative client with sleep promotion has labs k 3 3 na 133 hgb 17 2 vitals bp 164 84 hr 109 which order should the nurse implement first apply restraints without trying alternatives increase oral fluids without assessing contraindications promote a consistent sleep routine provide comfort measures only,1.166234603139711,0.2687142857142857,0.3789570816543894,,active
NCX0022,Basic Care & Comfort,oral care,Which order should the nurse question for a client with oral care?,Ignore abnormal values if the client feels fine,Provide oral care at least twice daily,Offer detailed education before stabilizing the client,Increase oral fluids without assessing contraindications,B,The correct action for oral care reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which order should the nurse question for a client with oral care ignore abnormal values if the client feels fine provide oral care at least twice daily offer detailed education before stabilizing the client increase oral fluids without assessing contraindications,-0.02784845531352779,0.5018571428571429,0.4072655813725382,,active
NCX0023,Basic Care & Comfort,oral care,A client with oral care is at risk for falls. Which intervention takes priority?,Apply restraints without trying alternatives,Provide comfort measures only,Use soft-bristle toothbrush for thrombocytopenia,Wait for provider rounds before acting,C,The correct action for oral care reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client with oral care is at risk for falls which intervention takes priority apply restraints without trying alternatives provide comfort measures only use soft bristle toothbrush for thrombocytopenia wait for provider rounds before acting,0.3229320331241546,0.4275714285714285,0.4069751278942785,{NCX0063},active
NCX0024,Basic Care & Comfort,skin integrity,Which lab value in the setting of skin integrity requires immediate intervention?,Keep skin clean and dry,Offer detailed education before stabilizing the client,Document and reassess later without intervening,Delegate initial assessment to unlicensed staff,A,The correct action for skin integrity reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which lab value in the setting of skin integrity requires immediate intervention keep skin clean and dry offer detailed education before stabilizing the client document and reassess later without intervening delegate initial assessment to unlicensed staff,1.467578967037351,0.2187142857142857,0.3520043350163432,,draft
NCX0025,Basic Care & Comfort,pain management,Which change in condition for pain management requires rapid response activation?,Evaluate pain using a validated scale,Delegate initial assessment to unlicensed staff,Offer detailed education before stabilizing the client,Ignore abnormal values if the client feels fine,A,The correct action for pain management reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which change in condition for pain management requires rapid response activation evaluate pain using a validated scale delegate initial assessment to unlicensed staff offer detailed education before stabilizing the client ignore abnormal values if the client feels fine,-0.7167347127510758,0.6504285714285715,0.4077367602285724,,active
NCX0026,Basic Care & Comfort,elimination,"During morning rounds, a client with elimination requests assistance. What should the nurse do first?",Encourage rest and postpone evaluation,Apply restraints without trying alternatives,Prevent constipation with fluids and fiber when appropriate,Increase oral fluids without assessing contraindications,C,The correct action for elimination reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,during morning rounds a client with elimination requests assistance what should the nurse do first encourage rest and postpone evaluation apply restraints without trying alternatives prevent constipation with fluids and fiber when appropriate increase oral fluids without assessing contraindications,1.104778334636485,0.2938571428571429,0.3755693400756123,,active
NCX0027,Basic Care & Comfort,oral care,"In the ED, a 57-year-old client with history of oral care reports new symptoms. Vitals: BP 143/69, HR 98, RR 30, Temp 38.2. Which intervention is most critical at this time?",Delegate initial assessment to unlicensed staff,Offer detailed education before stabilizing the client,Moisten oral mucosa for comfort,Increase oral fluids without assessing contraindications,C,The correct action for oral care reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,in the ed a 57 year old client with history of oral care reports new symptoms vitals bp 143 69 hr 98 rr 30 temp 38 2 which intervention is most critical at this time delegate initial assessment to unlicensed staff offer detailed education before stabilizing the client moisten oral mucosa for comfort increase oral fluids without assessing contraindications,-1.250658227900893,0.7332857142857143,0.3739239848922535,,active
NCX0028,Basic Care & Comfort,oral care,The nurse reinforces teaching about oral care. Which client statement shows understanding?,Document and reassess later without intervening,Ignore abnormal values if the client feels fine,Moisten oral mucosa for comfort,Position the client supine regardless of condition,C,The correct action for oral care reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,the nurse reinforces teaching about oral care which client statement shows understanding document and reassess later without intervening ignore abnormal values if the client feels fine moisten oral mucosa for comfort position the client supine regardless of condition,-0.3814160926941256,0.5727142857142857,0.4216532566583935,,active
NCX0029,Basic Care & Comfort,elimination,"A 75-year-old client admitted for elimination now has vitals: BP 139/65, HR 76, RR 25, SpO2 89. The client is anxious and pale. Which action should the nurse prioritize?",Provide privacy and timely toileting,Delegate initial assessment to unlicensed staff,Encourage rest and postpone evaluation,Ignore abnormal values if the client feels fine,A,The correct action for elimination reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a 75 year old client admitted for elimination now has vitals bp 139 65 hr 76 rr 25 spo2 89 the client is anxious and pale which action should the nurse prioritize provide privacy and timely toileting delegate initial assessment to unlicensed staff encourage rest and postpone evaluation ignore abnormal values if the client feels fine,0.1261512555647116,0.4718571428571429,0.4216470832424986,,active
NCX0030,Basic Care & Comfort,nutrition,Which intervention is indicated for a client experiencing nutrition symptoms?,Collaborate with a dietitian for needs,Offer detailed education before stabilizing the client,Ignore abnormal values if the client feels fine,Increase oral fluids without assessing contraindications,A,The correct action for nutrition reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which intervention is indicated for a client experiencing nutrition symptoms collaborate with a dietitian for needs offer detailed education before stabilizing the client ignore abnormal values if the client feels fine increase oral fluids without assessing contraindications,-0.335476232032442,0.5691428571428572,0.3952993385977737,,active
NCX0031,Basic Care & Comfort,temperature regulation,Which finding in a client with temperature regulation is the highest priority for the nurse to report?,Provide warming measures for hypothermia,Document and reassess later without intervening,Increase oral fluids without assessing contraindications,Apply restraints without trying alternatives,A,The correct action for temperature regulation reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which finding in a client with temperature regulation is the highest priority for the nurse to report provide warming measures for hypothermia document and reassess later without intervening increase oral fluids without assessing contraindications apply restraints without trying alternatives,0.6010201801753092,0.3757142857142857,0.3968991796102034,{NCX0125},active
NCX0032,Basic Care & Comfort,temperature regulation,"For a client being discharged with temperature regulation, which instruction is most important?",Document and reassess later without intervening,Administer antipyretics as prescribed,Offer detailed education before stabilizing the client,Wait for provider rounds before acting,B,The correct action for temperature regulation reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,for a client being discharged with temperature regulation which instruction is most important document and reassess later without intervening administer antipyretics as prescribed offer detailed education before stabilizing the client wait for provider rounds before acting,-0.9542484658116459,0.6892857142857143,0.3960818745997289,"{NCX0070,NCX0123}",active
NCX0033,Basic Care & Comfort,skin integrity,Which action reflects evidence-based practice in managing skin integrity?,Increase oral fluids without assessing contraindications,Use pressure-relieving surfaces,Position the client supine regardless of condition,Document and reassess later without intervening,B,The correct action for skin integrity reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which action reflects evidence based practice in managing skin integrity increase oral fluids without assessing contraindications use pressure relieving surfaces position the client supine regardless of condition document and reassess later without intervening,-1.148092513475772,0.7228571428571429,0.3893376830319248,{NCX0197},active
NCX0034,Basic Care & Comfort,mobility assistance,"Before administering medication related to mobility assistance, what should the nurse verify?",Increase oral fluids without assessing contraindications,Encourage early mobilization when safe,Delegate initial assessment to unlicensed staff,Position the client supine regardless of condition,B,The correct action for mobility assistance reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,before administering medication related to mobility assistance what should the nurse verify increase oral fluids without assessing contraindications encourage early mobilization when safe delegate initial assessment to unlicensed staff position the client supine regardless of condition,1.14483422989033,0.2814285714285714,0.3822871906585456,,active
NCX0035,Basic Care & Comfort,oral care,Which statement by the client about oral care requires further teaching?,Moisten oral mucosa for comfort,Delegate initial assessment to unlicensed staff,Document and reassess later without intervening,Provide comfort measures only,A,The correct action for oral care reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which statement by the client about oral care requires further teaching moisten oral mucosa for comfort delegate initial assessment to unlicensed staff document and reassess later without intervening provide comfort measures only,0.395956974413433,0.4174285714285714,0.4145477558489175,,active
NCX0036,Basic Care & Comfort,temperature regulation,What is the safest positioning for a client with temperature regulation?,Ignore abnormal values if the client feels fine,Encourage rest and postpone evaluation,Monitor for shivering and dehydration,Wait for provider rounds before acting,C,The correct action for temperature regulation reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,what is the safest positioning for a client with temperature regulation ignore abnormal values if the client feels fine encourage rest and postpone evaluation monitor for shivering and dehydration wait for provider rounds before acting,1.767173377577131,0.1815714285714286,0.33601687166206,,draft
NCX0037,Basic Care & Comfort,oral care,Which finding in a client with oral care is the highest priority for the nurse to report?,Provide oral care at least twice daily,Increase oral fluids without assessing contraindications,Position the client supine regardless of condition,Ignore abnormal values if the client feels fine,A,The correct action for oral care reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which finding in a client with oral care is the highest priority for the nurse to report provide oral care at least twice daily increase oral fluids without assessing contraindications position the client supine regardless of condition ignore abnormal values if the client feels fine,-0.8742466647634909,0.6658571428571428,0.4011757569923373,,active
NCX0038,Basic Care & Comfort,skin integrity,Which task related to skin integrity is appropriate to delegate to an experienced UAP?,Wait for provider rounds before acting,Offer detailed education before stabilizing the client,Reposition at least every two hours,Apply restraints without trying alternatives,C,The correct action for skin integrity reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which task related to skin integrity is appropriate to delegate to an experienced uap wait for provider rounds before acting offer detailed education before stabilizing the client reposition at least every two hours apply restraints without trying alternatives,0.5982141825962055,0.3752857142857143,0.4113658827001921,{NCX0062},active
NCX0039,Basic Care & Comfort,elimination,Which finding indicates effective management of elimination?,Provide comfort measures only,Monitor I&O carefully,Encourage rest and postpone evaluation,Position the client supine regardless of condition,B,The correct action for elimination reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which finding indicates effective management of elimination provide comfort measures only monitor i o carefully encourage rest and postpone evaluation position the client supine regardless of condition,0.1809438720858084,0.4615714285714286,0.4112293532037629,,active
NCX0040,Basic Care & Comfort,temperature regulation,"A client with temperature regulation suddenly exhibits new onset chest pain. Vitals: BP 173/98, HR 110, RR 22, SpO2 87. Which action should the nurse take first?",Provide warming measures for hypothermia,Offer detailed education before stabilizing the client,Provide comfort measures only,Apply restraints without trying alternatives,A,The correct action for temperature regulation reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client with temperature regulation suddenly exhibits new onset chest pain vitals bp 173 98 hr 110 rr 22 spo2 87 which action should the nurse take first provide warming measures for hypothermia offer detailed education before stabilizing the client provide comfort measures only apply restraints without trying alternatives,-3.715497892158114,0.9614285714285714,0.183283141866103,,retired
NCX0041,Basic Care & Comfort,oral care,Which step of sterile technique is critical when performing care related to oral care?,Document and reassess later without intervening,Offer detailed education before stabilizing the client,Encourage rest and postpone evaluation,Moisten oral mucosa for comfort,D,The correct action for oral care reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which step of sterile technique is critical when performing care related to oral care document and reassess later without intervening offer detailed education before stabilizing the client encourage rest and postpone evaluation moisten oral mucosa for comfort,1.314898611249691,0.2434285714285714,0.3576705512808823,,draft
NCX0042,Basic Care & Comfort,mobility assistance,"On a medical-surgical floor, a client with mobility assistance has intake < output for 24 hours and dry mucous membranes. Which intervention should the nurse implement first?",Encourage rest and postpone evaluation,Ignore abnormal values if the client feels fine,Use assistive devices as trained,Provide comfort measures only,C,The correct action for mobility assistance reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,on a medical surgical floor a client with mobility assistance has intake output for 24 hours and dry mucous membranes which intervention should the nurse implement first encourage rest and postpone evaluation ignore abnormal values if the client feels fine use assistive devices as trained provide comfort measures only,1.684207472348166,0.1904285714285714,0.3344027660745258,,draft
NCX0043,Basic Care & Comfort,temperature regulation,Which lab value in the setting of temperature regulation requires immediate intervention?,Administer antipyretics as prescribed,Increase oral fluids without assessing contraindications,Position the client supine regardless of condition,Provide comfort measures only,A,The correct action for temperature regulation reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which lab value in the setting of temperature regulation requires immediate intervention administer antipyretics as prescribed increase oral fluids without assessing contraindications position the client supine regardless of condition provide comfort measures only,0.5208958036513078,0.3817142857142857,0.4062589237228696,,active
NCX0044,Basic Care & Comfort,pain management,A client treated for pain management is being discharged with new prescriptions. The client expresses concerns about side effects and adherence. Which instruction is the priority?,Reassess pain after interventions,Apply restraints without trying alternatives,Document and reassess later without intervening,Position the client supine regardless of condition,A,The correct action for pain management reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client treated for pain management is being discharged with new prescriptions the client expresses concerns about side effects and adherence which instruction is the priority reassess pain after interventions apply restraints without trying alternatives document and reassess later without intervening position the client supine regardless of condition,1.397868041274757,0.238,0.3485703191852375,,draft
NCX0045,Basic Care & Comfort,pain management,A client with pain management refuses a blood transfusion due to personal beliefs. Which action by the nurse is most appropriate?,Reassess pain after interventions,Document and reassess later without intervening,Encourage rest and postpone evaluation,Wait for provider rounds before acting,A,The correct action for pain management reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client with pain management refuses a blood transfusion due to personal beliefs which action by the nurse is most appropriate reassess pain after interventions document and reassess later without intervening encourage rest and postpone evaluation wait for provider rounds before acting,1.125730437903002,0.2787142857142857,0.3905049125901282,,active
NCX0046,Basic Care & Comfort,skin integrity,Which step of sterile technique is critical when performing care related to skin integrity?,Increase oral fluids without assessing contraindications,Document and reassess later without intervening,Use pressure-relieving surfaces,Encourage rest and postpone evaluation,C,The correct action for skin integrity reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which step of sterile technique is critical when performing care related to skin integrity increase oral fluids without assessing contraindications document and reassess later without intervening use pressure relieving surfaces encourage rest and postpone evaluation,0.4299354972024297,0.4161428571428571,0.4053017737390236,,active
NCX0047,Basic Care & Comfort,pain management,A client with pain management is at risk for falls. Which intervention takes priority?,Evaluate pain using a validated scale,Increase oral fluids without assessing contraindications,Offer detailed education before stabilizing the client,Position the client supine regardless of condition,A,The correct action for pain management reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client with pain management is at risk for falls which intervention takes priority evaluate pain using a validated scale increase oral fluids without assessing contraindications offer detailed education before stabilizing the client position the client supine regardless of condition,0.05779313990577464,0.4924285714285714,0.4317377536263572,,active
NCX0048,Basic Care & Comfort,skin integrity,"A client with skin integrity suddenly exhibits sudden confusion. Vitals: BP 159/98, HR 59, RR 30, SpO2 94. Which action should the nurse take first?",Position the client supine regardless of condition,Encourage rest and postpone evaluation,Use pressure-relieving surfaces,Ignore abnormal values if the client feels fine,C,The correct action for skin integrity reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client with skin integrity suddenly exhibits sudden confusion vitals bp 159 98 hr 59 rr 30 spo2 94 which action should the nurse take first position the client supine regardless of condition encourage rest and postpone evaluation use pressure relieving surfaces ignore abnormal values if the client feels fine,-0.4039987603568225,0.5835714285714285,0.413605373232414,,active
NCX0049,Basic Care & Comfort,pain management,"A client with pain management reports new onset chest discomfort. Vitals: BP 145/82, HR 116. Which nursing action is most appropriate?",Position the client supine regardless of condition,Wait for provider rounds before acting,Evaluate pain using a validated scale,Apply restraints without trying alternatives,C,The correct action for pain management reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client with pain management reports new onset chest discomfort vitals bp 145 82 hr 116 which nursing action is most appropriate position the client supine regardless of condition wait for provider rounds before acting evaluate pain using a validated scale apply restraints without trying alternatives,-0.5428380257273232,0.6137142857142858,0.4111498218082248,,active
NCX0050,Basic Care & Comfort,oral care,"During shift handoff, a client with oral care is on multiple medications. Vitals: BP 135/98, HR 82. Which medication-related action should the nurse take first?",Ignore abnormal values if the client feels fine,Moisten oral mucosa for comfort,Provide comfort measures only,Offer detailed education before stabilizing the client,B,The correct action for oral care reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,during shift handoff a client with oral care is on multiple medications vitals bp 135 98 hr 82 which medication related action should the nurse take first ignore abnormal values if the client feels fine moisten oral mucosa for comfort provide comfort measures only offer detailed education before stabilizing the client,0.2056450573571233,0.4564285714285714,0.4118519430105029,,active
